rentabilidad óptima,riesgo asociado,composicion de portafolio
0.14,0.2,"[0.0, 0.0, 0.0, 1.0]"
0.1398,0.19967526762220703,"[0.0, 0.0, 0.005, 0.995]"
0.1396,0.1993510722318794,"[0.0, 0.0, 0.01, 0.99]"
0.13940000000000002,0.19902741645311084,"[0.0, 0.0, 0.015, 0.985]"
0.13920000000000002,0.19870430292270977,"[0.0, 0.0, 0.02, 0.98]"
0.1395,0.19838173429023148,"[0.005, 0.005, 0.0, 0.99]"
0.13930000000000003,0.19805971321800908,"[0.005, 0.005, 0.005, 0.985]"
0.13940000000000002,0.19773824238118431,"[0.0, 0.015, 0.0, 0.985]"
0.13920000000000002,0.19741732446773763,"[0.0, 0.015, 0.005, 0.98]"
0.139,0.19709696217851763,"[0.0, 0.015, 0.01, 0.975]"
0.139,0.19677715822726988,"[0.01, 0.01, 0.0, 0.98]"
0.1388,0.19645791534066528,"[0.01, 0.01, 0.005, 0.975]"
0.139,0.1961392362583275,"[0.0, 0.025, 0.0, 0.975]"
0.1388,0.19582112373285987,"[0.0, 0.025, 0.005, 0.97]"
0.1388,0.19550358052987166,"[0.0, 0.03, 0.0, 0.97]"
0.1386,0.19518660942800356,"[0.0, 0.03, 0.005, 0.965]"
0.13840000000000002,0.19487021321895248,"[0.0, 0.03, 0.01, 0.96]"
0.1385,0.19455439470749566,"[0.005, 0.03, 0.0, 0.965]"
0.1383,0.1942391567115138,"[0.005, 0.03, 0.005, 0.96]"
0.13840000000000002,0.19392450206201384,"[0.0, 0.04, 0.0, 0.96]"
0.13820000000000002,0.19361043360315064,"[0.0, 0.04, 0.005, 0.9550000000000001]"
0.13800000000000004,0.19329695419224796,"[0.0, 0.04, 0.01, 0.9500000000000001]"
0.13790000000000002,0.19298406669981852,"[0.015, 0.03, 0.0, 0.9550000000000001]"
0.13780000000000003,0.1926717740095835,"[0.01, 0.035, 0.005, 0.9500000000000001]"
0.13790000000000002,0.19236007901849075,"[0.005, 0.045, 0.0, 0.9500000000000001]"
0.13770000000000002,0.19204898463673273,"[0.005, 0.045, 0.005, 0.9450000000000001]"
0.13780000000000003,0.19173849378776292,"[0.0, 0.055, 0.0, 0.9450000000000001]"
0.13760000000000003,0.1914286094083118,"[0.0, 0.055, 0.005, 0.9400000000000001]"
0.13740000000000002,0.19111933444840162,"[0.0, 0.055, 0.01, 0.935]"
0.13740000000000002,0.1908106718713605,"[0.01, 0.05, 0.0, 0.9400000000000001]"
